empresa,estado_matriz,municipio_matriz,telefono,extension,uuid
MODULAR,,,,,3y9y5
AMPHEHOL,,,,,0a7o0
BROMAKE,,,,,3v8d6
GEPP PEPSI,,,,,3h7h1
HIM PEOPLE,,,,,2l5u9
MR Y ASOCIADOS,,,,,1x8d9
ARAMARK DE MEXICO,,,,,8s6f9
GRUPO STAR,,,,,8k2u1
LANGSTON,,,,,5r8d3
PASTO LA ESCONDIDA,,,,,4z3d9
MAGNA ELECTRONICS,,,,,1c3o7
GRUPO ABX STEEL SOLUTIONS,,,,,9x8j0
OBJETIVO HUMANO,,,,,2a6l5
EQUIPO AUTOMOTRIZ,,,,,0m0j0
ADT,,,,,0l7g9
VAZMOR SEGURIDAD,,,,,9f8u5
HEB,,,,,2l9u4
MNA,,,,,7b5p6
HYDRI EQUIPOS Y SIST DE AGUA,,,,,2s9n5
SIDRON,,,,,8f6y2
LGMG DE MEXICO,,,,,7p7l8
SEMINARIO DE MONTERREY,,,,,7z0x8
ECONOCLIMAS,,,,,6y0n6
WINSTON DATA,,,,,1x9y7
WESTROK,,,,,8u5e2
SOLSI,,,,,4u4u5
PAPELES Y COMVERCIONES,,,,,5x4g5
BUSSINESVLEXT LEVEL,,,,,1p4n7
DAR COMPANY,,,,,4n2t5
CEDIS SMART,,,,,2c8d1
HYUNDEI MOBIS,,,,,7f4t6
DONGWON MEX,,,,,5k1o2
YASAQUI CABLES,,,,,9d6v6
PORCELANA CORONA,,,,,7q5j1
VIXO MEDIA,,,,,8p0q7
ADL,,,,,4l9h6
TANQUES Y DICEÑOS,,,,,1o5e7
B HERMANOS,,,,,7j3w9
PICSA DE MEX,,,,,5p3z0
LGMG DE MEX,,,,,0b1b6
CADREX,,,,,4y5g8
WOLVERINE,,,,,3p6c5
GRUPO ASOCIADOS,,,,,7g5f1
SEGURIDAD IND CANTUTTI,,,,,8f5b5
DBG TREEWARK,,,,,2q5u7
TYG TREEWARK,,,,,2m6x5
METODE TREEWARK,,,,,5m4f1
ENERSYS TREEWARK,,,,,6o6y4
CAMER TREEWARK,,,,,7r6m5
CYVSA MANTENIMIENTO,,,,,1a7t9
ACUITY BRANDS,,,,,1h8p3
CONSTRURAMA BLANQUITA,,,,,6t2z8
GONGAR,,,,,0c1v6
HEB URO,,,,,1u2a8
TRASPORTES TLE,,,,,8g2r5
TRANSFORMACION CARNCA,,,,,8m3j0
MUEBLERIAS VILLARIAL,,,,,8c5x2
TRASPORTES PEÑON BLANCO,,,,,2k5w7
ESTAMPER,,,,,3a1d8
PLASTIC INGENUITY DE MEX,,,,,2v1r1
NIDAC KINATAK,,,,,1r3h6
GRUPO LAZCANO,,,,,5j5b6
MISSION,,,,,9o7q4
PRODYNAMICS,,,,,0i5i1
LEADEC,,,,,5o4q9
ACUMULADORES OMEGA,,,,,1v5x5
SPC SEGURIDAD,,,,,1r1u4
FEMSA PROXIMIDADY Y LOGISTICA,,,,,2v7m4
SVA PCM,,,,,1o8n9
SVA REGIO PYTSA,,,,,9w6m0
PAPELES Y COMVERCIONES DE MX,,,,,9q0b4
HUMAN RESQURCE,,,,,3v4k7
ROTOPLAS,,,,,4u5x2
BOSTIK,,,,,2r2k6
DSBJ MEXICO,,,,,6t8p2
CONCORD PACKAGING,,,,,4v6m9
CEDIS DEL SOL,,,,,7x8x6
COCA COLA,,,,,2s7i6
GRINGER,,,,,3g8w5
YASAKI,,,,,3h5i2
